predictor,period,seed
0,2013Q4,287
0,2013Q4,293
0,2010Q3,224
1,2010Q4,499
1,2011Q1,187
1,2011Q3,257
1,2012Q2,272
1,2013Q3,348
0,2011Q2,478
0,2012Q2,128
0,2013Q2,201
1,2010Q2,423
1,2013Q2,173
1,2012Q1,399
1,2013Q3,360
0,2011Q2,450
0,2012Q3,313
0,2013Q2,229
0,2012Q2,100
0,2012Q3,475
0,2012Q4,192
0,2011Q3,125
0,2011Q2,336
1,2013Q3,406
1,2010Q2,345
1,2010Q1,286
1,2010Q3,156
1,2013Q3,412
1,2010Q2,351
1,2010Q1,292
1,2010Q3,142
0,2012Q3,461
0,2013Q1,498
0,2010Q3,218
0,2011Q3,131
0,2012Q4,186
0,2011Q2,322
0,2011Q2,444
0,2012Q3,307
0,2012Q2,114
1,2010Q2,437
1,2013Q2,167
1,2013Q3,374
1,2010Q4,328
1,2012Q1,366
0,2013Q1,315
0,2010Q1,123
0,2013Q4,244
0,2013Q1,473
1,2011Q1,150
1,2011Q3,280
1,2010Q1,279
1,2012Q4,237
1,2012Q1,400
1,2011Q1,144
1,2012Q4,223
1,2011Q3,294
1,2012Q1,414
0,2012Q4,179
0,2010Q1,137
0,2013Q4,250
0,2011Q4,429
0,2013Q1,467
0,2013Q1,301
1,2013Q1,8
1,2013Q2,198
1,2012Q1,372
0,2013Q1,329
0,2011Q4,367
0,2011Q2,493
1,2012Q2,299
1,2010Q4,314
1,2010Q2,386
1,2010Q1,245
1,2013Q4,122
1,2010Q3,195
1,2010Q4,472
0,2013Q4,278
0,2011Q1,236
0,2012Q4,151
0,2011Q4,401
0,2011Q1,222
0,2012Q4,145
0,2011Q4,415
1,2010Q2,392
1,2010Q1,251
1,2010Q3,181
1,2011Q1,178
1,2013Q4,136
1,2012Q1,428
1,2010Q4,466
1,2010Q4,300
0,2011Q4,373
0,2011Q2,487
1,2012Q1,429
1,2010Q4,467
1,2011Q1,179
1,2010Q3,180
1,2013Q4,137
1,2010Q1,250
1,2010Q2,393
0,2011Q4,414
0,2012Q4,144
0,2011Q1,223
0,2011Q2,486
0,2011Q4,372
1,2010Q4,301
1,2010Q4,315
1,2012Q2,298
0,2011Q2,492
0,2013Q1,328
0,2011Q4,366
0,2011Q4,400
0,2012Q4,150
0,2013Q4,279
0,2011Q1,237
1,2010Q4,473
1,2013Q4,123
1,2010Q3,194
1,2010Q1,244
1,2010Q2,387
0,2011Q4,428
0,2013Q1,466
0,2013Q4,251
0,2012Q4,178
0,2010Q1,136
1,2012Q1,415
1,2012Q4,222
1,2011Q3,295
1,2011Q1,145
1,2012Q1,373
1,2013Q2,199
1,2013Q1,9
0,2013Q1,300
0,2013Q1,314
1,2010Q4,329
1,2012Q1,367
1,2012Q1,401
1,2010Q1,278
1,2011Q3,281
1,2012Q4,236
1,2011Q1,151
0,2013Q1,472
0,2013Q4,245
0,2010Q1,122
0,2011Q2,323
0,2011Q3,130
0,2012Q4,187
0,2010Q3,219
0,2013Q1,499
0,2012Q3,460
1,2010Q3,143
1,2010Q1,293
1,2010Q2,350
1,2013Q3,413
1,2013Q3,375
1,2013Q2,166
1,2010Q2,436
0,2012Q2,115
0,2012Q3,306
0,2011Q2,445
0,2012Q2,101
0,2013Q2,228
0,2012Q3,312
0,2011Q2,451
1,2013Q3,361
1,2012Q1,398
1,2013Q2,172
1,2010Q2,422
1,2010Q3,157
1,2010Q1,287
1,2010Q2,344
1,2013Q3,407
0,2011Q2,337
0,2012Q4,193
0,2011Q3,124
0,2012Q3,474
1,2011Q3,256
1,2011Q1,186
1,2010Q4,498
0,2013Q4,292
0,2010Q3,225
0,2013Q2,200
0,2012Q2,129
0,2011Q2,479
1,2013Q3,349
1,2012Q2,273
1,2012Q2,267
0,2013Q2,214
0,2011Q4,399
0,2010Q3,231
0,2013Q4,286
0,2011Q3,118
0,2012Q3,448
1,2011Q3,242
1,2011Q1,192
1,2010Q2,378
1,2013Q1,264
1,2010Q4,103
1,2013Q4,453
0,2010Q4,33
0,2010Q4,259
1,2012Q4,46
0,2012Q1,217
0,2011Q4,170
0,2013Q3,82
0,2011Q3,497
0,2012Q4,420
0,2010Q1,308
0,2012Q4,346
0,2011Q4,27
1,2010Q2,191
1,2013Q4,52
1,2013Q4,335
1,2010Q3,382
0,2012Q3,96
1,2010Q2,185
1,2013Q4,46
1,2010Q3,396
1,2013Q4,321
0,2012Q3,82
0,2012Q4,352
0,2011Q4,33
0,2012Q1,203
1,2012Q4,52
0,2011Q4,164
0,2013Q3,96
0,2012Q4,434
0,2011Q3,483
1,2012Q3,289
1,2013Q1,270
1,2012Q1,159
1,2010Q4,117
1,2011Q1,409
1,2013Q4,447
0,2010Q4,27
0,2011Q3,12
0,2013Q1,102
0,2010Q4,265
0,2010Q1,452
1,2013Q3,188
1,2012Q1,171
1,2013Q1,258
1,2011Q4,216
1,2011Q1,421
1,2013Q3,67
1,2011Q2,284
1,2013Q4,309
1,2011Q1,347
0,2010Q1,334
1,2012Q3,73
0,2010Q1,320
1,2012Q3,67
1,2011Q2,290
0,2010Q3,12
1,2011Q1,353
1,2012Q1,165
1,2011Q4,202
1,2011Q1,435
1,2013Q3,73
0,2011Q4,158
0,2013Q1,116
0,2010Q4,271
0,2012Q4,408
0,2010Q1,446
0,2013Q3,41
1,2010Q4,29
0,2011Q3,454
1,2012Q4,85
0,2012Q3,104
0,2012Q2,317
1,2010Q3,427
1,2013Q4,490
1,2013Q3,98
1,2011Q3,34
1,2013Q2,364
1,2013Q3,177
0,2012Q3,55
1,2013Q2,402
1,2010Q2,152
1,2013Q4,91
1,2010Q3,341
0,2012Q2,471
0,2012Q4,385
0,2011Q3,332
1,2010Q3,20
0,2010Q2,208
0,2011Q2,121
0,2013Q4,48
0,2012Q2,465
1,2012Q3,98
0,2011Q3,326
0,2012Q4,391
1,2010Q3,34
0,2011Q2,135
0,2012Q3,41
1,2011Q4,29
1,2013Q2,416
1,2010Q2,146
1,2013Q4,85
1,2010Q3,355
1,2013Q4,484
1,2010Q3,433
1,2011Q3,20
1,2013Q2,370
0,2012Q4,48
1,2013Q3,163
0,2013Q3,55
0,2011Q3,440
1,2012Q4,91
0,2013Q3,239
0,2012Q3,110
0,2012Q2,303
0,2012Q4,60
1,2013Q2,358
1,2012Q3,262
1,2010Q4,15
0,2011Q3,468
0,2010Q1,491
0,2012Q3,138
0,2013Q3,211
0,2013Q4,74
0,2010Q2,234
0,2012Q3,69
1,2011Q2,247
1,2011Q1,384
1,2011Q4,15
1,2011Q2,253
1,2011Q1,390
1,2010Q3,369
0,2012Q2,459
0,2013Q4,60
0,2011Q2,109
0,2010Q2,220
0,2010Q1,485
0,2013Q3,69
0,2013Q3,205
0,2012Q4,74
1,2012Q3,276
1,2013Q1,310
0,2013Q2,189
0,2012Q1,93
0,2012Q1,363
0,2012Q1,405
0,2011Q1,155
0,2012Q4,232
0,2011Q3,285
1,2011Q4,438
1,2013Q1,476
1,2012Q4,168
1,2010Q1,126
1,2013Q4,241
0,2013Q1,87
1,2013Q1,462
1,2010Q1,132
1,2013Q4,255
0,2013Q1,93
0,2012Q1,411
0,2011Q1,141
0,2010Q1,268
0,2011Q3,291
0,2012Q4,226
0,2012Q1,87
0,2010Q4,339
0,2012Q1,377
1,2013Q1,304
0,2010Q4,311
1,2011Q2,496
1,2011Q4,362
1,2012Q1,76
0,2012Q3,9
0,2011Q1,17
1,2011Q4,404
1,2011Q1,233
1,2012Q4,154
0,2012Q1,439
0,2010Q4,477
0,2010Q2,383
0,2010Q1,240
0,2011Q1,169
0,2010Q3,190
0,2013Q4,127
1,2013Q1,62
0,2010Q4,463
0,2010Q2,397
0,2010Q1,254
1,2013Q1,76
0,2013Q4,133
0,2010Q3,184
1,2011Q4,410
1,2013Q4,269
1,2011Q1,227
1,2012Q4,140
1,2011Q2,482
1,2013Q1,338
1,2012Q1,62
1,2011Q4,376
0,2010Q1,17
0,2012Q2,288
0,2010Q4,305
0,2012Q1,50
0,2012Q2,263
0,2013Q3,359
1,2012Q1,89
1,2012Q2,139
1,2013Q2,210
1,2011Q2,469
1,2010Q1,25
1,2013Q4,282
1,2010Q3,235
0,2013Q1,44
0,2011Q1,196
0,2011Q3,246
0,2010Q4,488
1,2011Q1,31
0,2010Q2,368
0,2011Q1,182
1,2013Q1,89
0,2011Q3,252
1,2011Q1,25
1,2011Q3,108
1,2010Q3,221
1,2013Q4,296
0,2013Q1,50
1,2012Q3,458
1,2011Q4,389
1,2013Q2,204
1,2010Q1,31
0,2012Q2,277
0,2012Q1,44
1,2012Q3,316
1,2012Q2,105
1,2011Q2,455
1,2010Q1,19
0,2013Q2,176
0,2013Q3,365
0,2010Q2,426
0,2010Q2,340
0,2010Q1,283
0,2010Q3,153
0,2013Q3,403
1,2010Q3,209
1,2011Q3,120
1,2012Q4,197
0,2013Q1,78
1,2011Q2,333
0,2011Q2,9
1,2013Q1,489
1,2012Q3,470
1,2012Q4,183
1,2011Q3,134
1,2011Q2,327
1,2012Q3,464
0,2010Q2,354
0,2010Q1,297
0,2010Q3,147
1,2011Q1,19
0,2013Q3,417
0,2012Q1,78
0,2013Q2,162
0,2013Q3,371
0,2012Q1,388
0,2010Q2,432
1,2012Q3,302
1,2013Q2,238
1,2012Q2,111
1,2011Q2,441
1,2010Q1,324
0,2010Q2,52
0,2013Q4,319
0,2011Q1,357
1,2012Q2,27
0,2011Q2,294
0,2013Q1,248
0,2011Q4,206
0,2013Q3,198
0,2012Q1,161
0,2011Q2,46
0,2011Q1,431
1,2013Q2,33
1,2010Q4,275
1,2013Q1,112
1,2010Q1,442
1,2013Q2,27
1,2010Q4,261
1,2011Q4,148
1,2013Q1,106
1,2012Q4,418
1,2010Q1,456
0,2011Q4,212
0,2012Q1,175
0,2011Q2,52
0,2011Q1,425
0,2011Q1,343
0,2011Q2,280
1,2012Q2,33
1,2010Q1,330
0,2010Q2,46
0,2013Q4,325
0,2010Q3,392
0,2010Q2,181
1,2010Q1,318
1,2012Q4,356
1,2011Q4,160
1,2010Q4,249
1,2012Q1,207
1,2011Q3,487
1,2012Q4,430
0,2010Q4,113
0,2013Q1,274
0,2013Q4,443
0,2012Q1,149
0,2010Q4,107
0,2012Q3,299
0,2013Q1,260
0,2011Q1,419
0,2013Q4,457
1,2011Q4,174
1,2012Q1,213
1,2012Q4,424
1,2011Q3,493
1,2012Q4,342
0,2010Q3,386
0,2013Q4,331
0,2010Q2,195
1,2010Q2,48
0,2011Q1,394
0,2011Q2,257
0,2010Q2,91
1,2010Q2,224
1,2011Q3,478
1,2010Q1,481
1,2013Q3,201
1,2012Q3,128
0,2011Q2,85
0,2012Q3,272
0,2013Q2,29
0,2013Q2,348
0,2011Q2,91
0,2012Q3,266
1,2010Q1,495
1,2011Q2,48
1,2013Q3,215
0,2010Q2,85
1,2012Q2,449
1,2010Q2,230
1,2011Q2,119
0,2012Q2,29
0,2012Q3,500
0,2011Q1,380
0,2010Q3,379
0,2011Q2,243
1,2012Q2,461
1,2011Q2,131
1,2010Q2,218
1,2012Q4,395
1,2011Q3,322
1,2010Q2,74
0,2013Q2,412
1,2011Q4,8
0,2010Q3,351
0,2010Q2,142
0,2010Q3,437
0,2013Q4,480
0,2013Q3,167
0,2013Q2,15
0,2013Q2,374
1,2011Q3,444
1,2011Q2,60
1,2012Q2,307
1,2012Q3,114
1,2011Q3,450
1,2011Q2,74
1,2012Q2,313
1,2012Q3,100
1,2013Q3,229
0,2013Q4,494
0,2010Q3,423
0,2013Q3,173
0,2013Q2,360
0,2013Q2,406
1,2010Q2,60
0,2010Q3,345
0,2010Q2,156
1,2012Q2,475
1,2011Q2,125
1,2011Q3,336
0,2012Q2,15
1,2012Q4,381
1,2012Q3,116
1,2010Q4,288
1,2012Q2,305
1,2011Q2,62
1,2011Q3,446
0,2013Q2,376
0,2013Q2,17
0,2013Q3,165
0,2013Q4,482
0,2010Q3,435
0,2010Q2,140
0,2011Q2,269
0,2010Q3,353
0,2013Q2,410
1,2010Q2,76
1,2011Q3,320
1,2012Q4,397
1,2011Q2,133
1,2012Q2,463
1,2012Q4,383
0,2012Q2,17
1,2011Q3,334
1,2011Q2,127
1,2012Q2,477
0,2010Q2,154
0,2010Q3,347
1,2010Q2,62
0,2013Q2,404
0,2013Q2,362
0,2012Q1,188
0,2013Q3,171
0,2012Q3,258
0,2010Q3,421
0,2013Q4,496
1,2012Q3,102
1,2012Q2,311
1,2011Q2,76
1,2011Q3,452
0,2013Q1,289
0,2012Q3,270
0,2013Q3,159
0,2011Q2,87
0,2010Q3,409
1,2013Q3,203
1,2012Q2,339
1,2010Q1,483
1,2010Q2,226
0,2010Q2,93
0,2011Q2,255
0,2011Q1,396
0,2011Q2,241
0,2010Q2,168
0,2011Q1,382
0,2013Q2,438
1,2011Q3,308
1,2010Q2,232
0,2010Q2,87
1,2013Q3,217
1,2011Q4,189
1,2010Q1,497
0,2012Q3,264
0,2011Q2,93
0,2013Q4,441
0,2011Q2,78
0,2010Q4,111
0,2011Q4,238
0,2013Q1,276
1,2012Q4,432
1,2011Q3,485
1,2011Q4,162
1,2012Q1,205
0,2012Q1,9
1,2012Q4,354
0,2010Q2,183
1,2012Q2,19
0,2010Q3,390
0,2011Q1,369
0,2013Q4,327
0,2010Q2,197
0,2013Q4,333
0,2010Q3,384
0,2010Q2,78
1,2012Q4,340
1,2010Q1,468
1,2011Q3,491
1,2012Q4,426
1,2013Q1,138
1,2011Q4,176
1,2012Q1,211
1,2013Q2,19
0,2013Q4,455
0,2010Q4,105
0,2013Q1,262
1,2010Q1,440
1,2012Q1,239
1,2010Q4,277
1,2013Q1,110
1,2013Q2,31
0,2011Q2,44
0,2011Q1,433
0,2013Q2,389
0,2011Q4,204
0,2012Q1,163
1,2010Q2,89
0,2011Q2,296
1,2012Q2,25
0,2011Q1,355
0,2010Q2,50
1,2012Q4,368
1,2010Q1,326
1,2012Q2,488
0,2010Q2,44
1,2010Q1,332
1,2012Q2,31
0,2011Q2,282
0,2011Q1,341
0,2011Q2,50
0,2013Q4,469
0,2011Q1,427
0,2011Q4,210
0,2010Q4,139
0,2012Q1,177
1,2011Q2,89
1,2010Q1,454
1,2010Q4,263
1,2013Q1,104
1,2013Q2,25
1,2012Q3,472
1,2011Q2,331
1,2012Q4,195
1,2011Q3,122
0,2013Q3,401
0,2011Q3,278
0,2010Q1,281
0,2010Q3,151
0,2010Q2,342
0,2010Q2,424
0,2013Q3,367
0,2013Q2,174
1,2011Q2,457
1,2012Q2,107
1,2012Q3,314
1,2011Q2,443
1,2012Q2,113
1,2012Q3,300
0,2010Q2,430
0,2013Q3,373
0,2012Q2,249
0,2013Q2,160
0,2013Q3,415
0,2010Q1,295
0,2010Q3,145
0,2010Q2,356
1,2012Q3,466
1,2011Q2,325
1,2011Q3,136
1,2012Q4,181
1,2011Q1,33
0,2011Q1,194
0,2011Q3,244
0,2013Q1,46
1,2010Q3,237
1,2013Q4,280
1,2010Q1,27
1,2013Q2,212
1,2012Q3,328
0,2010Q2,418
0,2013Q2,148
0,2012Q2,261
0,2012Q1,52
0,2012Q1,46
0,2012Q2,275
1,2010Q1,33
1,2013Q2,206
1,2011Q2,319
0,2013Q1,52
1,2013Q4,294
1,2010Q3,223
0,2013Q3,429
1,2011Q1,27
0,2010Q3,179
0,2011Q1,180
0,2011Q3,250
0,2010Q1,242
1,2013Q1,60
0,2013Q4,125
0,2010Q3,192
0,2010Q2,381
0,2010Q4,475
1,2011Q1,231
1,2010Q1,118
1,2012Q4,156
1,2013Q1,448
1,2011Q4,406
0,2011Q1,15
1,2012Q1,74
1,2011Q4,360
1,2011Q2,494
0,2010Q4,313
0,2012Q1,349
0,2010Q4,307
0,2010Q1,15
1,2011Q4,374
1,2012Q1,60
1,2011Q2,480
1,2011Q1,225
1,2012Q4,142
1,2011Q4,412
0,2012Q4,218
0,2010Q1,256
0,2010Q3,186
0,2013Q4,131
1,2013Q1,74
0,2010Q2,395
0,2010Q4,461
0,2013Q1,85
1,2010Q1,124
1,2013Q4,243
1,2013Q1,474
0,2011Q1,29
0,2013Q4,119
0,2011Q1,157
0,2011Q3,287
0,2012Q4,230
0,2010Q4,449
0,2012Q1,407
0,2012Q1,361
0,2013Q3,398
0,2012Q1,91
1,2013Q1,312
1,2012Q1,48
1,2011Q4,348
1,2013Q1,306
0,2012Q1,375
0,2012Q1,85
0,2010Q1,29
0,2011Q1,143
1,2013Q1,48
0,2012Q4,224
0,2011Q3,293
0,2012Q1,413
0,2013Q1,91
1,2010Q1,130
1,2011Q1,219
1,2013Q4,257
1,2012Q3,499
1,2013Q1,460
1,2011Q1,386
1,2011Q2,245
0,2013Q4,76
0,2010Q2,236
0,2012Q2,329
1,2010Q2,9
0,2013Q3,213
0,2010Q1,493
1,2010Q4,17
1,2013Q3,149
1,2013Q1,299
1,2012Q3,260
0,2012Q4,62
1,2010Q3,419
1,2012Q3,274
0,2012Q4,76
0,2011Q4,199
0,2013Q3,207
0,2010Q1,487
0,2013Q4,62
0,2010Q2,222
0,2011Q3,318
1,2011Q1,392
1,2010Q2,178
1,2011Q2,251
1,2013Q2,428
1,2011Q4,17
1,2010Q3,22
0,2011Q2,123
0,2011Q3,330
0,2012Q4,387
0,2012Q2,473
1,2013Q4,93
1,2010Q3,343
1,2011Q2,279
1,2010Q2,150
1,2013Q2,400
0,2012Q3,57
1,2013Q3,175
1,2011Q3,36
1,2013Q2,366
1,2013Q4,492
1,2010Q3,425
0,2012Q2,315
1,2012Q4,87
0,2010Q4,298
0,2012Q3,106
0,2013Q3,43
0,2011Q3,456
0,2012Q2,301
1,2012Q4,93
0,2012Q3,112
0,2013Q3,57
0,2011Q3,442
1,2012Q3,248
1,2012Q1,198
1,2013Q3,161
1,2011Q3,22
1,2013Q2,372
1,2010Q3,431
1,2013Q4,486
1,2013Q4,87
1,2010Q3,357
1,2010Q2,144
1,2013Q2,414
0,2012Q3,43
1,2010Q3,36
0,2011Q2,137
0,2012Q4,393
0,2011Q3,324
0,2012Q2,467
1,2012Q3,71
0,2011Q4,19
0,2012Q4,378
0,2010Q1,336
1,2011Q1,345
1,2011Q2,286
1,2013Q3,65
1,2011Q1,423
1,2012Q1,173
1,2011Q4,214
1,2013Q2,399
0,2010Q1,450
1,2013Q3,9
0,2013Q1,100
0,2011Q3,10
0,2012Q1,229
1,2012Q4,78
0,2010Q4,267
0,2010Q1,444
0,2013Q1,114
0,2010Q4,273
1,2013Q3,71
0,2010Q4,19
1,2013Q4,479
1,2011Q1,437
1,2010Q4,129
1,2012Q1,167
1,2011Q4,200
1,2011Q1,351
0,2010Q3,10
1,2013Q4,78
1,2011Q2,292
0,2012Q2,498
1,2012Q3,65
0,2010Q1,322
0,2012Q3,94
1,2013Q1,500
1,2013Q4,50
0,2010Q3,38
1,2010Q3,380
1,2011Q1,379
1,2013Q4,337
1,2010Q2,193
0,2011Q4,25
0,2013Q4,89
0,2012Q4,344
0,2013Q3,80
0,2012Q4,422
0,2011Q3,495
0,2012Q1,215
1,2012Q4,44
0,2011Q4,172
0,2010Q4,31
1,2013Q3,59
1,2013Q4,451
1,2011Q4,228
1,2013Q1,266
1,2010Q4,101
0,2010Q4,25
1,2013Q4,445
1,2013Q1,272
1,2010Q4,115
0,2012Q4,89
0,2013Q3,94
0,2010Q1,478
0,2011Q3,481
0,2012Q4,436
1,2012Q4,50
0,2012Q1,201
0,2013Q1,128
0,2011Q3,38
0,2011Q4,166
0,2011Q4,31
1,2012Q3,59
0,2012Q4,350
0,2012Q3,80
1,2013Q4,44
1,2013Q4,323
1,2010Q3,394
1,2010Q2,187
1,2010Q2,408
1,2012Q2,271
1,2013Q2,158
0,2010Q4,8
0,2012Q3,338
0,2013Q2,202
0,2010Q3,227
0,2013Q4,290
1,2011Q3,254
1,2011Q1,184
